,Baseline Profile,Adblock,AdblockPlus,Disconnect,Privacy Badger,uBlock,uBlock Origin Lite,AdGuard,Accept All Cookies,Cookie Cutter,Consent-O-Matic (Opt-in),Consent-O-Matic (Opt-out),Ghostery,I Don't Care About Cookies,"Super Agent (""Opt-out"")",Decentraleyes
Baseline Profile,1.0,0.9277450826735332,0.9391782778958874,0.7324411997818779,0.795369525369696,0.9309457725598098,0.6657902935658302,0.551645837801153,0.8265030862352711,0.9648299402198218,0.6582439997984051,0.8546196868785805,0.766307751357106,0.787223950905485,0.5614110011439195,0.9291357462129616
Adblock,0.9277450826735332,1.0,0.9374118192315847,0.7561327604131826,0.8079653076876049,0.9207558359456814,0.6790481020258953,0.5626458993587748,0.8160784820140694,0.9502996713279942,0.6483528106663127,0.8447819892163888,0.7603935120291109,0.7686478770470427,0.5581829378636448,0.9087049792267679
AdblockPlus,0.9391782778958874,0.9374118192315847,1.0,0.7239574700486863,0.787304012229474,0.9228395166230305,0.655460022036864,0.5466953619053955,0.8099525777968628,0.939840493280919,0.6493722197159748,0.8352135374142784,0.7551329141751572,0.7727557995762996,0.5562390336366461,0.9090576597819373
Disconnect,0.7324411997818779,0.7561327604131826,0.7239574700486863,1.0,0.8550799762458609,0.7371021220009156,0.7551953025787583,0.6406576739939693,0.6563276850145168,0.7513422062090038,0.5122592339259168,0.684625120458309,0.6129898483715951,0.6154058371007162,0.44689911963772616,0.7485541090462549
Privacy Badger,0.795369525369696,0.8079653076876049,0.787304012229474,0.8550799762458609,1.0,0.7873236288340856,0.7317245539518975,0.6204054890197792,0.6972463562626595,0.8093983323954159,0.5464826228017414,0.7357210485256632,0.6568536952074109,0.6496143257342955,0.46679437078353786,0.7845867216814948
uBlock,0.9309457725598098,0.9207558359456814,0.9228395166230305,0.7371021220009156,0.7873236288340856,1.0,0.6608916693314683,0.5440277741233496,0.8090264476821254,0.924938959652419,0.6435868284619447,0.8368073882541546,0.774882631854756,0.773160345993399,0.5617274210583509,0.9105182650392565
uBlock Origin Lite,0.6657902935658302,0.6790481020258953,0.655460022036864,0.7551953025787583,0.7317245539518975,0.6608916693314683,1.0,0.7210471529238242,0.6020361964749943,0.6734118260637307,0.4638446858082768,0.6203730728373,0.5919586173547517,0.5635883863372303,0.39977554806060905,0.6608152166226186
AdGuard,0.551645837801153,0.5626458993587748,0.5466953619053955,0.6406576739939693,0.6204054890197792,0.5440277741233496,0.7210471529238242,1.0,0.5445629412170335,0.5515443786843478,0.4176538777288588,0.5493956306165876,0.5063220897381482,0.5243439758675451,0.3630579968378449,0.5326776216922816
Accept All Cookies,0.8265030862352711,0.8160784820140694,0.8099525777968628,0.6563276850145168,0.6972463562626595,0.8090264476821254,0.6020361964749943,0.5445629412170335,1.0,0.8446772050725726,0.615111751638353,0.8165850626207896,0.7217330982661077,0.8392834890159028,0.550062302414736,0.8206732832059024
Cookie Cutter,0.9648299402198218,0.9502996713279942,0.939840493280919,0.7513422062090038,0.8093983323954159,0.924938959652419,0.6734118260637307,0.5515443786843478,0.8446772050725726,1.0,0.6652568440438563,0.8730073736262136,0.7732219366982797,0.7952324902161894,0.567398494437275,0.9457887944239888
Consent-O-Matic (Opt-in),0.6582439997984051,0.6483528106663127,0.6493722197159748,0.5122592339259168,0.5464826228017414,0.6435868284619447,0.4638446858082768,0.4176538777288588,0.615111751638353,0.6652568440438563,1.0,0.6690454410456912,0.5830695576558005,0.6328416850071311,0.7704606909571322,0.6328888254112095
Consent-O-Matic (Opt-out),0.8546196868785805,0.8447819892163888,0.8352135374142784,0.684625120458309,0.7357210485256632,0.8368073882541546,0.6203730728373,0.5493956306165876,0.8165850626207896,0.8730073736262136,0.6690454410456912,1.0,0.8162528998858701,0.7897222586670626,0.5577150091356905,0.8468730242900303
Ghostery,0.766307751357106,0.7603935120291109,0.7551329141751572,0.6129898483715951,0.6568536952074109,0.774882631854756,0.5919586173547517,0.5063220897381482,0.7217330982661077,0.7732219366982797,0.5830695576558005,0.8162528998858701,1.0,0.7250462967319362,0.5199386811626298,0.7688879089923645
I Don't Care About Cookies,0.787223950905485,0.7686478770470427,0.7727557995762996,0.6154058371007162,0.6496143257342955,0.773160345993399,0.5635883863372303,0.5243439758675451,0.8392834890159028,0.7952324902161894,0.6328416850071311,0.7897222586670626,0.7250462967319362,1.0,0.60625838804703,0.7782091155121126
"Super Agent (""Opt-out"")",0.5614110011439195,0.5581829378636448,0.5562390336366461,0.44689911963772616,0.46679437078353786,0.5617274210583509,0.39977554806060905,0.3630579968378449,0.550062302414736,0.567398494437275,0.7704606909571322,0.5577150091356905,0.5199386811626298,0.60625838804703,1.0,0.5489098622032857
Decentraleyes,0.9291357462129616,0.9087049792267679,0.9090576597819373,0.7485541090462549,0.7845867216814948,0.9105182650392565,0.6608152166226186,0.5326776216922816,0.8206732832059024,0.9457887944239888,0.6328888254112095,0.8468730242900303,0.7688879089923645,0.7782091155121126,0.5489098622032857,1.0
